gene	protein_accession	aro_index	count	rpob_Normalization	rpob_count	sample
lnuB	CAB41414.1	ARO:3002836	5	0.000479261652747993	49617	R39_S32_arg_short
lnuC	AAY32951.1	ARO:3002837	4	0.0006227496869646649	49617	R39_S32_arg_short
lnuD	ABR14060.1	ARO:3002838	6	0.0009341245304469972	49617	R39_S32_arg_short
lnuF	CAD91132.1	ARO:3002839	5	0.0004687668720308837	49617	R39_S32_arg_short
lsaB	CAE18141.1	ARO:3003111	2	0.00010421267581051693	49617	R39_S32_arg_short
lsaE	AAL05553.1	ARO:3003206	22	0.001141707759435219	49617	R39_S32_arg_short
macA	AAV85981.1	ARO:3000533	1	6.536494805926825e-05	49617	R39_S32_arg_short
macB	AAV85982.1	ARO:3000535	61	0.002429447906705175	49617	R39_S32_arg_short
mdsA	AAL19306.1	ARO:3000789	1	6.280788407650959e-05	49617	R39_S32_arg_short
mdsB	AAL19305.1	ARO:3000790	56	0.0013622649402352043	49617	R39_S32_arg_short
mdsC	AAL19304.1	ARO:3000791	8	0.0004077527712268639	49617	R39_S32_arg_short
mdtA	AAC75135.2	ARO:3000792	5	0.00030875510321264933	49617	R39_S32_arg_short
mdtB	AAC75136.1	ARO:3000793	283	0.006983500632280266	49617	R39_S32_arg_short
mdtC	AAC75137.1	ARO:3000794	137	0.003430130768478618	49617	R39_S32_arg_short
mdtE	BAE77781.1	ARO:3000795	1	6.655032276500628e-05	49617	R39_S32_arg_short
mdtF	AAC76539.1	ARO:3000796	38	0.000940424021500108	49617	R39_S32_arg_short
mdtG	ABV18113.1	ARO:3001329	11	0.0006908867248416055	49617	R39_S32_arg_short
mdtH	AAC74149.2	ARO:3001216	7	0.00044620092335247386	49617	R39_S32_arg_short
